;id_station;nom_station_commune;nom_station;commune;espece;abreviation;nb_individus;,id_station,nom_station_commune,commune,espece,abreviation,nb_individus;;;;;;;;annee
2015;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Ablette;ABL;28;2015,id_station,Station numero 2 - SEVRES,SEVRES,Ablette,ABL,28;;;;;;;;2015
2020;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Ablette;ABL;2;2020,id_station,Station numero 2 - SEVRES,SEVRES,Ablette,ABL,2;;;;;;;;2020
2013;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Barbeau fluviatile;BAF;2;2013,id_station,Station numero 2 - SEVRES,SEVRES,Barbeau fluviatile,BAF,2;;;;;;;;2013
2016;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Barbeau fluviatile;BAF;2;2016,id_station,Station numero 2 - SEVRES,SEVRES,Barbeau fluviatile,BAF,2;;;;;;;;2016
2009;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Breme sp.;BRX;1;2009,id_station,Station numero 2 - SEVRES,SEVRES,Breme sp.,BRX,1;;;;;;;;2009
2011;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chabot;CHA;9;2011,id_station,Station numero 2 - SEVRES,SEVRES,Chabot,CHA,9;;;;;;;;2011
2010;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chevesne;CHE;19;2010,id_station,Station numero 2 - SEVRES,SEVRES,Chevesne,CHE,19;;;;;;;;2010
2014;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chevesne;CHE;43;2014,id_station,Station numero 2 - SEVRES,SEVRES,Chevesne,CHE,43;;;;;;;;2014
2012;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Gardon;GAR;101;2012,id_station,Station numero 2 - SEVRES,SEVRES,Gardon,GAR,101;;;;;;;;2012
2010;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Goujon;GOU;2;2010,id_station,Station numero 2 - SEVRES,SEVRES,Goujon,GOU,2;;;;;;;;2010
2014;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Goujon;GOU;5;2014,id_station,Station numero 2 - SEVRES,SEVRES,Goujon,GOU,5;;;;;;;;2014
2015;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Goujon;GOU;8;2015,id_station,Station numero 2 - SEVRES,SEVRES,Goujon,GOU,8;;;;;;;;2015
2020;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Hotu;HOT;34;2020,id_station,Station numero 2 - SEVRES,SEVRES,Hotu,HOT,34;;;;;;;;2020
2012;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Perche commune;PER;7;2012,id_station,Station numero 2 - SEVRES,SEVRES,Perche commune,PER,7;;;;;;;;2012
2016;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Perche commune;PER;5;2016,id_station,Station numero 2 - SEVRES,SEVRES,Perche commune,PER,5;;;;;;;;2016
2009;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Perche soleil;PES;2;2009,id_station,Station numero 2 - SEVRES,SEVRES,Perche soleil,PES,2;;;;;;;;2009
2019;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Perche soleil;PES;2;2019,id_station,Station numero 2 - SEVRES,SEVRES,Perche soleil,PES,2;;;;;;;;2019
2011;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Rotengle;ROT;4;2011,id_station,Station numero 2 - SEVRES,SEVRES,Rotengle,ROT,4;;;;;;;;2011
2015;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Rotengle;ROT;1;2015,id_station,Station numero 2 - SEVRES,SEVRES,Rotengle,ROT,1;;;;;;;;2015
2016;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Rotengle;ROT;1;2016,id_station,Station numero 2 - SEVRES,SEVRES,Rotengle,ROT,1;;;;;;;;2016
2017;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Rotengle;ROT;1;2017,id_station,Station numero 2 - SEVRES,SEVRES,Rotengle,ROT,1;;;;;;;;2017
2009;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Vandoise;VAN;1;2009,id_station,Station numero 2 - SEVRES,SEVRES,Vandoise,VAN,1;;;;;;;;2009
2018;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Vandoise;VAN;12;2018,id_station,Station numero 2 - SEVRES,SEVRES,Vandoise,VAN,12;;;;;;;;2018
2019;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Ablette;ABL;10;2019,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Ablette,ABL,10;;;;;;;;2019
2019;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Barbeau fluviatile;BAF;1;2019,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Barbeau fluviatile,BAF,1;;;;;;;;2019
2013;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Breme sp.;BRX;10;2013,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Breme sp.,BRX,10;;;;;;;;2013
2011;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chabot;CHA;41;2011,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chabot,CHA,41;;;;;;;;2011
2016;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chabot;CHA;2;2016,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chabot,CHA,2;;;;;;;;2016
2013;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Goujon;GOU;1;2013,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Goujon,GOU,1;;;;;;;;2013
2013;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Perche commune;PER;11;2013,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Perche commune,PER,11;;;;;;;;2013
2015;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Perche commune;PER;3;2015,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Perche commune,PER,3;;;;;;;;2015
2019;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Perche commune;PER;2;2019,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Perche commune,PER,2;;;;;;;;2019
2012;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Rotengle;ROT;4;2012,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Rotengle,ROT,4;;;;;;;;2012
2015;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Silure glane;SIL;1;2015,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Silure glane,SIL,1;;;;;;;;2015
2019;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Ablette;ABL;32;2019,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Ablette,ABL,32;;;;;;;;2019
2016;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Brochet;BRO;1;2016,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Brochet,BRO,1;;;;;;;;2016
2014;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Chevesne;CHE;24;2014,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Chevesne,CHE,24;;;;;;;;2014
2017;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Chevesne;CHE;1;2017,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Chevesne,CHE,1;;;;;;;;2017
2012;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Gardon;GAR;1;2012,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Gardon,GAR,1;;;;;;;;2012
2014;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Gardon;GAR;46;2014,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Gardon,GAR,46;;;;;;;;2014
2010;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Perche commune;PER;4;2010,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Perche commune,PER,4;;;;;;;;2010
2013;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Perche commune;PER;5;2013,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Perche commune,PER,5;;;;;;;;2013
2019;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Perche commune;PER;4;2019,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Perche commune,PER,4;;;;;;;;2019
2012;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Rotengle;ROT;5;2012,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Rotengle,ROT,5;;;;;;;;2012
2013;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Rotengle;ROT;4;2013,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Rotengle,ROT,4;;;;;;;;2013
2011;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Silure;SIL;1;2011,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Silure,SIL,1;;;;;;;;2011
2012;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Ablette;ABL;21;2012,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Ablette,ABL,21;;;;;;;;2012
2019;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Ablette;ABL;27;2019,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Ablette,ABL,27;;;;;;;;2019
2015;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Barbeau fluviatile;BAF;1;2015,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Barbeau fluviatile,BAF,1;;;;;;;;2015
2018;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Barbeau fluviatile;BAF;2;2018,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Barbeau fluviatile,BAF,2;;;;;;;;2018
2010;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Chevesne;CHE;18;2010,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Chevesne,CHE,18;;;;;;;;2010
2019;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Chevesne;CHE;2;2019,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Chevesne,CHE,2;;;;;;;;2019
2012;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Gardon;GAR;8;2012,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Gardon,GAR,8;;;;;;;;2012
2019;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Gardon;GAR;55;2019,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Gardon,GAR,55;;;;;;;;2019
2015;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Perche commune;PER;30;2015,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Perche commune,PER,30;;;;;;;;2015
2019;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Ablette;ABL;10;2019,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Ablette,ABL,10;;;;;;;;2019
2012;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Barbeau fluviatile;BAF;8;2012,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Barbeau fluviatile,BAF,8;;;;;;;;2012
2014;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Barbeau fluviatile;BAF;2;2014,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Barbeau fluviatile,BAF,2;;;;;;;;2014
2012;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Chabot;CHA;54;2012,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Chabot,CHA,54;;;;;;;;2012
2017;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Chabot;CHA;6;2017,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Chabot,CHA,6;;;;;;;;2017
2009;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Chevesne;CHE;5;2009,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Chevesne,CHE,5;;;;;;;;2009
2019;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Gardon;GAR;91;2019,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Gardon,GAR,91;;;;;;;;2019
2009;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Goujon;GOU;10;2009,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Goujon,GOU,10;;;;;;;;2009
2010;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Goujon;GOU;4;2010,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Goujon,GOU,4;;;;;;;;2010
2011;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Goujon;GOU;13;2011,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Goujon,GOU,13;;;;;;;;2011
2014;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Hotu;HOT;14;2014,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Hotu,HOT,14;;;;;;;;2014
2009;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Perche commune;PER;9;2009,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Perche commune,PER,9;;;;;;;;2009
2010;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Perche commune;PER;7;2010,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Perche commune,PER,7;;;;;;;;2010
2013;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Perche commune;PER;4;2013,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Perche commune,PER,4;;;;;;;;2013
2010;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Rotengle;ROT;2;2010,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Rotengle,ROT,2;;;;;;;;2010
2018;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Vandoise;VAN;2;2018,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Vandoise,VAN,2;;;;;;;;2018
2019;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Ablette;ABL;3;2019,id_station,Station numero 7 - NANTERRE,NANTERRE,Ablette,ABL,3;;;;;;;;2019
2017;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Barbeau fluviatile;BAF;4;2017,id_station,Station numero 7 - NANTERRE,NANTERRE,Barbeau fluviatile,BAF,4;;;;;;;;2017
2020;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Bouviere;BOU;18;2020,id_station,Station numero 7 - NANTERRE,NANTERRE,Bouviere,BOU,18;;;;;;;;2020
2013;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Chabot;CHA;56;2013,id_station,Station numero 7 - NANTERRE,NANTERRE,Chabot,CHA,56;;;;;;;;2013
2019;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Chabot;CHA;4;2019,id_station,Station numero 7 - NANTERRE,NANTERRE,Chabot,CHA,4;;;;;;;;2019
2013;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Chevesne;CHE;58;2013,id_station,Station numero 7 - NANTERRE,NANTERRE,Chevesne,CHE,58;;;;;;;;2013
2014;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Gardon;GAR;200;2014,id_station,Station numero 7 - NANTERRE,NANTERRE,Gardon,GAR,200;;;;;;;;2014
2015;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Gardon;GAR;1;2015,id_station,Station numero 7 - NANTERRE,NANTERRE,Gardon,GAR,1;;;;;;;;2015
2019;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Goujon;GOU;8;2019,id_station,Station numero 7 - NANTERRE,NANTERRE,Goujon,GOU,8;;;;;;;;2019
2020;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Goujon;GOU;17;2020,id_station,Station numero 7 - NANTERRE,NANTERRE,Goujon,GOU,17;;;;;;;;2020
2011;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Hotu;HOT;2;2011,id_station,Station numero 7 - NANTERRE,NANTERRE,Hotu,HOT,2;;;;;;;;2011
2009;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Perche commune;PER;31;2009,id_station,Station numero 7 - NANTERRE,NANTERRE,Perche commune,PER,31;;;;;;;;2009
2020;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Perche commune;PER;8;2020,id_station,Station numero 7 - NANTERRE,NANTERRE,Perche commune,PER,8;;;;;;;;2020
2016;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Ablette;ABL;45;2016,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Ablette,ABL,45;;;;;;;;2016
2020;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Ablette;ABL;51;2020,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Ablette,ABL,51;;;;;;;;2020
2017;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Perche commune;PER;9;2017,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Perche commune,PER,9;;;;;;;;2017
2018;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Perche commune;PER;3;2018,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Perche commune,PER,3;;;;;;;;2018
2018;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Perche soleil;PES;2;2018,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Perche soleil,PES,2;;;;;;;;2018
2019;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Perche soleil;PES;1;2019,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Perche soleil,PES,1;;;;;;;;2019
2019;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Rotengle;ROT;7;2019,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Rotengle,ROT,7;;;;;;;;2019
2019;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Silure glane;SIL;1;2019,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Silure glane,SIL,1;;;;;;;;2019
2017;id_station;Station numero 6bis - NANTERRE;Station numero 6bis;NANTERRE;Chabot;CHA;2;2017,id_station,Station numero 6bis - NANTERRE,NANTERRE,Chabot,CHA,2;;;;;;;;2017
2020;id_station;Station numero 6bis - NANTERRE;Station numero 6bis;NANTERRE;Gardon;GAR;80;2020,id_station,Station numero 6bis - NANTERRE,NANTERRE,Gardon,GAR,80;;;;;;;;2020
2020;id_station;Station numero 6bis - NANTERRE;Station numero 6bis;NANTERRE;Rotengle;ROT;12;2020,id_station,Station numero 6bis - NANTERRE,NANTERRE,Rotengle,ROT,12;;;;;;;;2020
2018;id_station;Station numero 6bis - NANTERRE;Station numero 6bis;NANTERRE;Vandoise;VAN;2;2018,id_station,Station numero 6bis - NANTERRE,NANTERRE,Vandoise,VAN,2;;;;;;;;2018
2020;id_station;Station numero 6bis - NANTERRE;Station numero 6bis;NANTERRE;Vandoise;VAN;35;2020,id_station,Station numero 6bis - NANTERRE,NANTERRE,Vandoise,VAN,35;;;;;;;;2020
2020;id_station;Station Du port Le Grand au Pont de Saint Cloud - BOULOGNE BILLANCOURT;Station Du port Le Grand au Pont de Saint Cloud;BOULOGNE BILLANCOURT;Gardon;GAR;25;2020,id_station,Station Du port Le Grand au Pont de Saint Cloud - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Gardon,GAR,25;;;;;;;;2020
2020;id_station;Station Estacade des Mariniers - GENNEVILLIERS;Station Estacade des Mariniers;GENNEVILLIERS;Vandoise;VAN;1;2020,id_station,Station Estacade des Mariniers - GENNEVILLIERS,GENNEVILLIERS,Vandoise,VAN,1;;;;;;;;2020
2022;id_station;Station Entre pont de Clichy et pont de Gennevilliers - CLICHY;Station Entre pont de Clichy et pont de Gennevilliers;CLICHY;Gardon;GAR;7;2022,id_station,Station Entre pont de Clichy et pont de Gennevilliers - CLICHY,CLICHY,Gardon,GAR,7;;;;;;;;2022
2022;id_station;Station Entre pont de Clichy et pont de Gennevilliers - CLICHY;Station Entre pont de Clichy et pont de Gennevilliers;CLICHY;Gobie tache noire;GOT;1;2022,id_station,Station Entre pont de Clichy et pont de Gennevilliers - CLICHY,CLICHY,Gobie tache noire,GOT,1;;;;;;;;2022
2022;id_station;Station Pointe aval de l'Ile Seguin - BOULOGNE BILLANCOURT;Station Pointe aval de l'Ile Seguin;BOULOGNE BILLANCOURT;Chevesne;CHE;15;2022,id_station,Station Pointe aval de l'Ile Seguin - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chevesne,CHE,15;;;;;;;;2022
2022;id_station;Station Pointe aval de l'Ile Seguin - BOULOGNE BILLANCOURT;Station Pointe aval de l'Ile Seguin;BOULOGNE BILLANCOURT;Rotengle;ROT;2;2022,id_station,Station Pointe aval de l'Ile Seguin - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Rotengle,ROT,2;;;;;;;;2022
2012;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Ablette;ABL;34;2012,id_station,Station numero 1 - MEUDON,MEUDON,Ablette,ABL,34;;;;;;;;2012
